field,journal,year,n_graphs,n_bar_cont,n_informative,n_bar_or_informative,policy,policy_year,log_offset,year_centered,num_articles,p_bar,p_informative,p_total,All_Fields
cardiac & cardiovascular systems,circulation research,2014,44,42,16,43,1,5,-0.82098055206983,-3.99493510604611,43,0.9767441860465116,0.37209302325581395,1.3488372093023255,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; HEMATOLOGY
cardiac & cardiovascular systems,circulation research,2015,54,49,25,52,1,6,-0.616186139423817,-2.99493510604611,52,0.9423076923076923,0.4807692307692308,1.4230769230769231,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; HEMATOLOGY
cardiac & cardiovascular systems,circulation research,2016,32,25,14,27,1,7,-1.13943428318836,-1.99493510604611,27,0.9259259259259259,0.5185185185185185,1.4444444444444444,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; HEMATOLOGY
cardiac & cardiovascular systems,circulation research,2017,40,36,23,39,1,8,-0.916290731874155,-0.994935106046114,39,0.9230769230769231,0.5897435897435898,1.5128205128205128,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; HEMATOLOGY
cardiac & cardiovascular systems,circulation research,2018,36,27,20,31,1,9,-1.02165124753198,0.0050648939538859,31,0.8709677419354839,0.6451612903225806,1.5161290322580645,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; HEMATOLOGY
cardiac & cardiovascular systems,circulation research,2019,42,20,30,35,1,10,-0.867500567704723,1.00506489395389,35,0.5714285714285714,0.8571428571428571,1.4285714285714284,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; HEMATOLOGY
cardiac & cardiovascular systems,circulation research,2020,56,10,53,53,1,11,-0.579818495252942,2.00506489395389,53,0.18867924528301888,1.0,1.1886792452830188,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; HEMATOLOGY
cardiac & cardiovascular systems,circulation research,2021,61,14,58,59,1,12,-0.49429632181478,3.00506489395389,59,0.23728813559322035,0.9830508474576272,1.2203389830508475,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; HEMATOLOGY
cardiac & cardiovascular systems,circulation research,2022,50,6,45,46,1,13,-0.693147180559945,4.00506489395389,46,0.13043478260869565,0.9782608695652174,1.108695652173913,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; HEMATOLOGY
cardiac & cardiovascular systems,circulation research,2023,48,10,45,45,1,14,-0.7339691750802,5.00506489395389,45,0.2222222222222222,1.0,1.2222222222222223,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; HEMATOLOGY
